text,label,source
You will be in the place of that man,ham,spam_sms
Yup next stop.,ham,spam_sms
"I call you later, don't have network. If urgnt, sms me.",spam,spam_sms
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,ham,spam_sms
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,ham,spam_sms
I'm really not up to it still tonight babe,ham,spam_sms
"Ela kano.,il download, come wen ur free..",ham,spam_sms
Yeah do! Don‰Û÷t stand to close tho- you‰Û÷ll catch something!,ham,spam_sms
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,ham,spam_sms
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,ham,spam_sms
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,spam,spam_sms
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,ham,spam_sms
"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",spam,spam_sms
Watching telugu movie..wat abt u?,ham,spam_sms
i see. When we finish we have loads of loans to pay,ham,spam_sms
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",ham,spam_sms
Please don't text me anymore. I have nothing else to say.,ham,spam_sms
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,ham,spam_sms
I'm still looking for a car to buy. And have not gone 4the driving test yet.,ham,spam_sms
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",ham,spam_sms
Umma my life and vava umma love you lot dear,ham,spam_sms
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,ham,spam_sms
"Aight, I'll hit you up when I get some cash",ham,spam_sms
How would my ip address test that considering my computer isn't a minecraft server,ham,spam_sms
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,ham,spam_sms
Dont worry. I guess he's busy.,ham,spam_sms
What is the plural of the noun research?,ham,spam_sms
Going for dinner.msg you after.,ham,spam_sms
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,ham,spam_sms
GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,spam,spam_sms
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",ham,spam_sms
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",ham,spam_sms
You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,spam,spam_sms
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,ham,spam_sms
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,ham,spam_sms
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,spam,spam_sms
"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",spam,spam_sms
here is my new address -apples&pairs&all that malarky,ham,spam_sms
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,spam,spam_sms
I am going to sao mu today. Will be done only at 12 ,ham,spam_sms
ÌÏ predict wat time Ì_'ll finish buying?,ham,spam_sms
"Good stuff, will do.",ham,spam_sms
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",ham,spam_sms
Are you there in room.,ham,spam_sms
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,ham,spam_sms
K..k:)how much does it cost?,ham,spam_sms
I'm home.,ham,spam_sms
"Dear, will call Tmorrow.pls accomodate.",ham,spam_sms
First answer my question.,ham,spam_sms
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,spam,spam_sms
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,spam,spam_sms
I only haf msn. It's yijue@hotmail.com,ham,spam_sms
He is there. You call and meet him,ham,spam_sms
No no. I will check all rooms befor activities,ham,spam_sms
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,spam,spam_sms
Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,ham,spam_sms
"K, text me when you're on the way",ham,spam_sms
"Sir, Waiting for your mail.",ham,spam_sms
"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",ham,spam_sms
I know you are. Can you pls open the back?,ham,spam_sms
Yes see ya not on the dot,ham,spam_sms
Whats the staff name who is taking class for us?,ham,spam_sms
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",spam,spam_sms
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ham,spam_sms
K..i deleted my contact that why?,ham,spam_sms
Sindu got job in birla soft ..,ham,spam_sms
The wine is flowing and i'm i have nevering..,ham,spam_sms
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,ham,spam_sms
Ok... Ur typical reply...,ham,spam_sms
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",ham,spam_sms
Aaooooright are you at work?,ham,spam_sms
I'm leaving my house now...,ham,spam_sms
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",ham,spam_sms
Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,spam,spam_sms
You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,spam,spam_sms
Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,ham,spam_sms
New car and house for my parents.:)i have only new job in hand:),ham,spam_sms
I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,ham,spam_sms
-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,spam,spam_sms
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",spam,spam_sms
I place all ur points on e cultures module already.,ham,spam_sms
URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,spam,spam_sms
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",ham,spam_sms
Great escape. I fancy the bridge but needs her lager. See you tomo ,ham,spam_sms
Yes :)it completely in out of form:)clark also utter waste.,ham,spam_sms
"Sir, I need AXIS BANK account no and bank address.",ham,spam_sms
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",spam,spam_sms
What time you coming down later? ,ham,spam_sms
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",ham,spam_sms
"Well, i'm gonna finish my bath now. Have a good...fine night.",ham,spam_sms
Let me know when you've got the money so carlos can make the call,ham,spam_sms
U still going to the mall?,ham,spam_sms
"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",ham,spam_sms
Text her. If she doesnt reply let me know so i can have her log in,ham,spam_sms
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,ham,spam_sms
You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,ham,spam_sms
Lol no. U can trust me.,ham,spam_sms
ok. I am a gentleman and will treat you with dignity and respect.,ham,spam_sms
"He will, you guys close?",ham,spam_sms
Going on nothing great.bye,ham,spam_sms
Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,ham,spam_sms
"Haha awesome, be there in a minute",ham,spam_sms
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,spam,spam_sms
Have you got Xmas radio times. If not i will get it now,ham,spam_sms
I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,ham,spam_sms
Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,spam,spam_sms
I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,ham,spam_sms
Hi :)finally i completed the course:),ham,spam_sms
It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,ham,spam_sms
How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,ham,spam_sms
Gud mrng dear hav a nice day,ham,spam_sms
Did u got that persons story,ham,spam_sms
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,ham,spam_sms
Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,ham,spam_sms
"Found it, ENC  &lt;#&gt; , where you at?",ham,spam_sms
I sent you  &lt;#&gt;  bucks,ham,spam_sms
Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,ham,spam_sms
Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,ham,spam_sms
Goodmorning sleeping ga.,ham,spam_sms
U call me alter at 11 ok.,ham,spam_sms
ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,ham,spam_sms
"Aight yo, dats straight dogg",ham,spam_sms
You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,ham,spam_sms
Both :) i shoot big loads so get ready!,ham,spam_sms
"What's up bruv, hope you had a great break. Do have a rewarding semester.",ham,spam_sms
Home so we can always chat,ham,spam_sms
K:)k:)good:)study well.,ham,spam_sms
Yup... How Ì_ noe leh...,ham,spam_sms
Sounds great! Are you home now?,ham,spam_sms
Finally the match heading towards draw as your prediction.,ham,spam_sms
Tired. I haven't slept well the past few nights.,ham,spam_sms
Easy ah?sen got selected means its good..,ham,spam_sms
I have to take exam with march 3,ham,spam_sms
Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,ham,spam_sms
Ok no prob. Take ur time.,ham,spam_sms
There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,ham,spam_sms
U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,ham,spam_sms
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",spam,spam_sms
Would really appreciate if you call me. Just need someone to talk to.,ham,spam_sms
"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",spam,spam_sms
Hey company elama po mudyadhu.,ham,spam_sms
"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",ham,spam_sms
Dear good morning now only i am up,ham,spam_sms
Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,ham,spam_sms
Dear we are going to our rubber place,ham,spam_sms
"Sorry battery died, yeah I'm here",ham,spam_sms
Yes:)here tv is always available in work place..,ham,spam_sms
Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,spam,spam_sms
I have printed it oh. So  &lt;#&gt;  come upstairs,ham,spam_sms
Or ill be a little closer like at the bus stop on the same street,ham,spam_sms
Where are you?when wil you reach here?,ham,spam_sms
"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",ham,spam_sms
U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,spam,spam_sms
Tomarrow final hearing on my laptop case so i cant.,ham,spam_sms
PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,ham,spam_sms
"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",ham,spam_sms
"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",ham,spam_sms
U don't remember that old commercial?,ham,spam_sms
Too late. I said i have the website. I didn't i have or dont have the slippers,ham,spam_sms
I asked you to call him now ok,ham,spam_sms
Kallis wont bat in 2nd innings.,ham,spam_sms
It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,ham,spam_sms
Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,spam,spam_sms
Ranjith cal drpd Deeraj and deepak 5min hold,ham,spam_sms
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",ham,spam_sms
What you doing?how are you?,ham,spam_sms
"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",ham,spam_sms
"I'm back, lemme know when you're ready",ham,spam_sms
Don't necessarily expect it to be done before you get back though because I'm just now headin out,ham,spam_sms
Mmm so yummy babe ... Nice jolt to the suzy,ham,spam_sms
Where are you lover ? I need you ...,ham,spam_sms
We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,spam,spam_sms
I‰Û÷m parked next to a MINI!!!! When are you coming in today do you think?,ham,spam_sms
Yup,ham,spam_sms
Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,ham,spam_sms
MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,ham,spam_sms
Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,spam,spam_sms
Why you Dint come with us.,ham,spam_sms
Same. Wana plan a trip sometme then,ham,spam_sms
"Not sure yet, still trying to get a hold of him",ham,spam_sms
Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,spam,spam_sms
The evo. I just had to download flash. Jealous?,ham,spam_sms
Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,spam,spam_sms
"Come to mu, we're sorting out our narcotics situation",ham,spam_sms
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",ham,spam_sms
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,spam,spam_sms
"Usf I guess, might as well take 1 car",ham,spam_sms
No objection. My bf not coming.,ham,spam_sms
Thanx...,ham,spam_sms
Tell rob to mack his gf in the theater,ham,spam_sms
"Awesome, I'll see you in a bit",ham,spam_sms
Just sent it. So what type of food do you like?,ham,spam_sms
All done? All handed in? Celebrations in full swing yet?,ham,spam_sms
You got called a tool?,ham,spam_sms
\Wen u miss someone,ham,spam_sms
Ok. I asked for money how far,ham,spam_sms
Okie...,ham,spam_sms
"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",ham,spam_sms
"K, I might come by tonight then if my class lets out early",ham,spam_sms
Ok..,ham,spam_sms
hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,ham,spam_sms
"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",ham,spam_sms
"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",ham,spam_sms
Hey you told your name to gautham ah?,ham,spam_sms
Haf u found him? I feel so stupid da v cam was working.,ham,spam_sms
Oops. 4 got that bit.,ham,spam_sms
Are you this much buzy,ham,spam_sms
I accidentally deleted the message. Resend please.,ham,spam_sms
T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,spam,spam_sms
Unless it's a situation where YOU GO GURL would be more appropriate,ham,spam_sms
Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,ham,spam_sms
I cant pick the phone right now. Pls send a message,ham,spam_sms
Need a coffee run tomo?Can't believe it's that time of week already,ham,spam_sms
"Awesome, I remember the last time we got somebody high for the first time with diesel :V",ham,spam_sms
"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",ham,spam_sms
Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? ,ham,spam_sms
He is a womdarfull actor,ham,spam_sms
"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",spam,spam_sms
Yup... From what i remb... I think should be can book... ,ham,spam_sms
Jos ask if u wana meet up?,ham,spam_sms
Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,ham,spam_sms
"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",spam,spam_sms
Where are the garage keys? They aren't on the bookshelf,ham,spam_sms
Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,ham,spam_sms
"Think ur smart ? Win å£200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",spam,spam_sms
He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,spam,spam_sms
"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",ham,spam_sms
You made my day. Do have a great day too.,ham,spam_sms
K.k:)advance happy pongal.,ham,spam_sms
"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",ham,spam_sms
"Not really dude, have no friends i'm afraid :(",ham,spam_sms
December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,spam,spam_sms
"Coffee cake, i guess...",ham,spam_sms
"Merry Christmas to you too babe, i love ya *kisses*",ham,spam_sms
Hey... Why dont we just go watch x men and have lunch... Haha ,ham,spam_sms
cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,ham,spam_sms
That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,ham,spam_sms
No problem. How are you doing?,ham,spam_sms
Hi da:)how is the todays class?,ham,spam_sms
"I'd say that's a good sign but, well, you know my track record at reading women",ham,spam_sms
"Cool, text me when you're parked",ham,spam_sms
